,0
comfort_score,0.24523742148714114
crowd_grade,0.20653296068416446
log_passenger_count,0.2002412646729608
predicted_delay,0.06971707710388424
monsoon_impact,0.06583670999926258
is_raining,0.062238515624021225
hour,0.039663849901082265
congestion_perc,0.02646953372049336
flood_risk,0.02453080256231845
speed_diff,0.02122988502417451
avg_road_speed,0.01688732802857021
pm25_emission_proxy,0.015925623409217014
peak_hour_weight,0.0033727554744113855
is_peak,0.0009077010667070276
aqi_category,0.0007247605151243001
aqi_value,0.0004838107264670488
